check	status	detail
contract parent-merge / authorization / 480 plan	PASS	main run authorized; implementation/smoke remain false; 4 x 120 plan
immutable parent and eight input SHA256	PASS	P0-3 parent plus all eight pinned inputs
opaque-only contract and sealed mapping	PASS	contract carries opaque IDs only; seal is separately readable by validator
480 complete checkpoints and no tmp residue	PASS	full cardinality, identity filenames, and per-member 1:120
production full-size and non-smoke	PASS	requireFull demands 351-pair non-smoke checkpoints (rejects any reduced/smoke file)
CRN world seed pairing and member-free seed formula	PASS	same seed index has exactly one checkpoint per present opaque member and seed is member-independent
M-D2 guard mutation	PASS	M-D2 0.75/0.756; M-REF 1.5/1.5; bad dilation unchanged
M-D1 observed B path, no shifted re-solve	PASS	B_obs only; shifted B solves=0; paired max vector delta=[0.00456231822233689 0.00378516104167315 0.00554020390615087 0.00413165721341184 0.0036101189311745 0.00332848579799881 0.00426163705529461 0.00360418305964726 0.00563962923917597 0.00539725996393043 0.00411663156492821 0.00339568097166466 0.00411650576414435 0.00319286883686032 0.00434122167412107 0.00565958785136349 0.00345578727055075 0.00378863371412504 0.00314648477575772 0.00416814915334462 0.00429461199115312 0.00442820914164526 0.00470904233393883 0.00505803714022894 0.00470532738141865 0.00411943412468958 0.0040287805354935 0.00462087457177901 0.00376726604013654 0.00410414130339075 0.00453173915282171 0.00361341790883411 0.00373377600277547 0.0036847625354833 0.00356160003869959 0.00595143861303356 0.00456172424527173 0.00409035961349674 0.0043068879236224 0.00347222027666069 0.00475648574433911 0.00388292635910663 0.00444877340319308 0.00360003908779688 0.00412037736558881 0.00362096702285417 0.00510197819066222 0.00413504980108565 0.00434227205479599 0.00508708326216253 0.00427044375094228 0.00405581216336882 0.0051598940539767 0.00375375162356769 0.004577570282394 0.00355688744522998 0.00535643801608962 0.00453019783882811 0.00450023564916846 0.00327569091420834 0.0056416347882408 0.00336106444671804 0.00399109040496501 0.00372220111425221 0.00592116332043122 0.00356300299461697 0.00380357885978877 0.00418203729759768 0.00465166312346798 0.00329179407170784 0.00368356524597003 0.00434948553251242 0.00342325332378606 0.00314384146970592 0.00456468561655235 0.0031864832794989 0.00318218848577357 0.00361351897141325 0.00429312408968171 0.00374751425290744 0.00412882180887917 0.00315631520202325 0.00354926962777548 0.0035468370599815 0.0042345496094233 0.00369936713877081 0.00363275958183157 0.00380856853709631 0.00432623844061262 0.00387668152003384 0.00473354460577672 0.00388764899368637 0.00332990481379123 0.00443904336784244 0.0055384867775494 0.00421424746571006 0.00397737265356296 0.00360051862377103 0.00321503826858696 0.00383335848673086 0.00416615752682252 0.00480838549499583 0.00499463910511377 0.00332202914078833 0.00360694564027488 0.00370553998683511 0.00377513153907403 0.00440420877186085 0.00447448760115273 0.00330533315932359 0.00328055053043055 0.00354557885821001 0.00420980222011018 0.00448717398835907 0.00626866979361108 0.00365841402669494 0.00417775959541106 0.00395020105683502 0.00417804762898011 0.00379954141235395 0.00364344919484215 0.00316300822207641 0.00329016720055115 0.00340086881223685 0.00364078042022038 0.00416160092446608 0.00385723786279349 0.00382253416274965 0.00357943365748555 0.00426542180957657 0.00407337420367648 0.00429162962549288 0.0042983223039437 0.00377553080492896 0.00383907331288848 0.00462713866326064 0.0052413788287606 0.00402420953561178 0.00309893112906795 0.00355315753751411 0.00382523705783418 0.00334189129517951 0.00442698850715844 0.00389467341933822 0.00345819167719808 0.00408346045018089 0.00335612088521151 0.00312209751170108 0.00316720007433401 0.0046520385589075 0.0055233064387617 0.00313933921601123 0.0034004799170788 0.00349078598452773 0.00555007817938848 0.00363208570775244 0.00353744924427863 0.00352044293953361 0.00387383481270424 0.00367516747674747 0.00524137669985889 0.00453401872606213 0.00404425261876336 0.00376691680595045 0.00335377595033021 0.00398425040969487 0.00382166414582595 0.00453477248330423 0.00493266051182562 0.00356480000169788 0.00385599630540364 0.00311862763055152 0.00412690981013372 0.00417149827032391 0.00363649760090389 0.00370975499540087 0.00434956214327877 0.0034709985947069 0.00354963381368483 0.00486817454394311 0.00371150727198429 0.00409581771088318 0.00465146761197294 0.004106842873806 0.00472175503435634 0.00430197083586052 0.00375176583366415 0.00414275688479536 0.00367018493655288 0.00316958354446535 0.00498834938980269 0.00464772018617736 0.00405616241958985 0.00393381277008746 0.00375409674773404 0.00374231533761179 0.00433215967830827 0.00393007176971637 0.0035114275923153 0.00337135949770768 0.00441901277662688 0.00326995960854277 0.00435426976511501 0.00358184682561093 0.00313307566145182 0.00342950639932135 0.00350101765387868 0.00355979859799068 0.00375502997853894 0.00424689871905683 0.00461330190583 0.00360707581256822 0.00306816307407424 0.004008581000788 0.00415139890059539 0.00336086886360516 0.00344563984371667 0.00353960749492043 0.00413659943179432 0.00360649414145958 0.0039671825950559 0.00341080784983407 0.00399548979917968 0.00448846060156518 0.00438643537904333 0.00372794297995806 0.00561275470835865 0.00340274897767857 0.00387190623252525 0.00297808543888813 0.00446388666699661 0.00428069149116846 0.00342816945579972 0.00436939971591535 0.00394259822738153 0.00390332941889268 0.00412507886924188 0.00305352859287485 0.00391585440047291 0.00396966796981356]
Mphase semantic identity except sealed switch	PASS	M-REF/M-D2/M-D1 share common semantic identity; only guard or coefficient mode differs
Mphase exact-orbit/readout recomputation	PASS	persisted subject Mphase vectors reproduce exact sign-flip shape/p values
run_manifest bidirectional checkpoint SHA256	PASS	manifest fields and checkpoint-file cardinality
FPR/CP/MCSE P0-1 formula	PASS	CP=betaincinv exact inversion; MCSE=sqrt(phat*(1-phat)/n)
